"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"1";"target ~ age";28;30;12;32;0.568627450980392;0.714285714285714;0.466666666666667
"2";"target ~ trestbps";42;15;27;18;0.558823529411765;0.357142857142857;0.7
"3";"target ~ chol";49;11;31;11;0.588235294117647;0.261904761904762;0.816666666666667
"4";"target ~ thalach";45;26;16;15;0.696078431372549;0.619047619047619;0.75
"5";"target ~ oldpeak";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
"6";"target ~ sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"7";"target ~ sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"8";"target ~ cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"9";"target ~ cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"10";"target ~ cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"11";"target ~ cp3";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"12";"target ~ fbs0";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"13";"target ~ fbs1";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"14";"target ~ restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"15";"target ~ restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"16";"target ~ restecg2";60;0;42;0;0.588235294117647;0;1
"17";"target ~ exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"18";"target ~ exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"19";"target ~ slope0";56;7;35;4;0.617647058823529;0.166666666666667;0.933333333333333
"20";"target ~ slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"21";"target ~ slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"22";"target ~ ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"23";"target ~ ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
"24";"target ~ ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"25";"target ~ ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"26";"target ~ ca4";0;42;0;60;0.411764705882353;1;0
"27";"target ~ thal0";60;0;42;0;0.588235294117647;0;1
"28";"target ~ thal1";57;3;39;3;0.588235294117647;0.0714285714285714;0.95
"29";"target ~ thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"30";"target ~ thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"31";"target ~ age+trestbps";36;23;19;24;0.57843137254902;0.547619047619048;0.6
"32";"target ~ age+chol";33;27;15;27;0.588235294117647;0.642857142857143;0.55
"33";"target ~ age+thalach";42;25;17;18;0.656862745098039;0.595238095238095;0.7
"34";"target ~ age+oldpeak";48;23;19;12;0.696078431372549;0.547619047619048;0.8
"35";"target ~ age+sex0";33;29;13;27;0.607843137254902;0.69047619047619;0.55
"36";"target ~ age+sex1";33;29;13;27;0.607843137254902;0.69047619047619;0.55
"37";"target ~ age+cp0";46;35;7;14;0.794117647058823;0.833333333333333;0.766666666666667
"38";"target ~ age+cp1";24;35;7;36;0.57843137254902;0.833333333333333;0.4
"39";"target ~ age+cp2";31;34;8;29;0.637254901960784;0.80952380952381;0.516666666666667
"40";"target ~ age+cp3";27;29;13;33;0.549019607843137;0.69047619047619;0.45
"41";"target ~ age+fbs0";29;29;13;31;0.568627450980392;0.69047619047619;0.483333333333333
"42";"target ~ age+fbs1";29;29;13;31;0.568627450980392;0.69047619047619;0.483333333333333
"43";"target ~ age+restecg0";31;26;16;29;0.558823529411765;0.619047619047619;0.516666666666667
"44";"target ~ age+restecg1";31;26;16;29;0.558823529411765;0.619047619047619;0.516666666666667
"45";"target ~ age+restecg2";60;0;42;0;0.588235294117647;0;1
"46";"target ~ age+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"47";"target ~ age+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"48";"target ~ age+slope0";30;30;12;30;0.588235294117647;0.714285714285714;0.5
"49";"target ~ age+slope1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"50";"target ~ age+slope2";40;32;10;20;0.705882352941177;0.761904761904762;0.666666666666667
"51";"target ~ age+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"52";"target ~ age+ca1";42;20;22;18;0.607843137254902;0.476190476190476;0.7
"53";"target ~ age+ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"54";"target ~ age+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"55";"target ~ age+ca4";0;42;0;60;0.411764705882353;1;0
"56";"target ~ age+thal0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"57";"target ~ age+thal1";57;3;39;3;0.588235294117647;0.0714285714285714;0.95
"58";"target ~ age+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"59";"target ~ age+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"60";"target ~ trestbps+chol";41;16;26;19;0.558823529411765;0.380952380952381;0.683333333333333
"61";"target ~ trestbps+thalach";42;23;19;18;0.637254901960784;0.547619047619048;0.7
"62";"target ~ trestbps+oldpeak";43;22;20;17;0.637254901960784;0.523809523809524;0.716666666666667
"63";"target ~ trestbps+sex0";22;38;4;38;0.588235294117647;0.904761904761905;0.366666666666667
"64";"target ~ trestbps+sex1";22;38;4;38;0.588235294117647;0.904761904761905;0.366666666666667
"65";"target ~ trestbps+cp0";39;36;6;21;0.735294117647059;0.857142857142857;0.65
"66";"target ~ trestbps+cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"67";"target ~ trestbps+cp2";22;40;2;38;0.607843137254902;0.952380952380952;0.366666666666667
"68";"target ~ trestbps+cp3";38;18;24;22;0.549019607843137;0.428571428571429;0.633333333333333
"69";"target ~ trestbps+fbs0";42;14;28;18;0.549019607843137;0.333333333333333;0.7
"70";"target ~ trestbps+fbs1";42;14;28;18;0.549019607843137;0.333333333333333;0.7
"71";"target ~ trestbps+restecg0";36;19;23;24;0.53921568627451;0.452380952380952;0.6
"72";"target ~ trestbps+restecg1";36;19;23;24;0.53921568627451;0.452380952380952;0.6
"73";"target ~ trestbps+restecg2";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"74";"target ~ trestbps+exang0";45;21;21;15;0.647058823529412;0.5;0.75
"75";"target ~ trestbps+exang1";45;21;21;15;0.647058823529412;0.5;0.75
"76";"target ~ trestbps+slope0";41;17;25;19;0.568627450980392;0.404761904761905;0.683333333333333
"77";"target ~ trestbps+slope1";36;29;13;24;0.637254901960784;0.69047619047619;0.6
"78";"target ~ trestbps+slope2";33;33;9;27;0.647058823529412;0.785714285714286;0.55
"79";"target ~ trestbps+ca0";40;33;9;20;0.715686274509804;0.785714285714286;0.666666666666667
"80";"target ~ trestbps+ca1";42;22;20;18;0.627450980392157;0.523809523809524;0.7
"81";"target ~ trestbps+ca2";50;17;25;10;0.656862745098039;0.404761904761905;0.833333333333333
"82";"target ~ trestbps+ca3";54;7;35;6;0.598039215686274;0.166666666666667;0.9
"83";"target ~ trestbps+ca4";0;42;0;60;0.411764705882353;1;0
"84";"target ~ trestbps+thal0";42;15;27;18;0.558823529411765;0.357142857142857;0.7
"85";"target ~ trestbps+thal1";50;10;32;10;0.588235294117647;0.238095238095238;0.833333333333333
"86";"target ~ trestbps+thal2";42;33;9;18;0.735294117647059;0.785714285714286;0.7
"87";"target ~ trestbps+thal3";41;30;12;19;0.696078431372549;0.714285714285714;0.683333333333333
"88";"target ~ chol+thalach";43;24;18;17;0.656862745098039;0.571428571428571;0.716666666666667
"89";"target ~ chol+oldpeak";46;21;21;14;0.656862745098039;0.5;0.766666666666667
"90";"target ~ chol+sex0";22;35;7;38;0.558823529411765;0.833333333333333;0.366666666666667
"91";"target ~ chol+sex1";22;35;7;38;0.558823529411765;0.833333333333333;0.366666666666667
"92";"target ~ chol+cp0";44;35;7;16;0.774509803921569;0.833333333333333;0.733333333333333
"93";"target ~ chol+cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"94";"target ~ chol+cp2";22;40;2;38;0.607843137254902;0.952380952380952;0.366666666666667
"95";"target ~ chol+cp3";39;22;20;21;0.598039215686274;0.523809523809524;0.65
"96";"target ~ chol+fbs0";44;12;30;16;0.549019607843137;0.285714285714286;0.733333333333333
"97";"target ~ chol+fbs1";44;12;30;16;0.549019607843137;0.285714285714286;0.733333333333333
"98";"target ~ chol+restecg0";29;28;14;31;0.558823529411765;0.666666666666667;0.483333333333333
"99";"target ~ chol+restecg1";29;28;14;31;0.558823529411765;0.666666666666667;0.483333333333333
"100";"target ~ chol+restecg2";56;1;41;4;0.558823529411765;0.0238095238095238;0.933333333333333
"101";"target ~ chol+exang0";50;19;23;10;0.676470588235294;0.452380952380952;0.833333333333333
"102";"target ~ chol+exang1";50;19;23;10;0.676470588235294;0.452380952380952;0.833333333333333
"103";"target ~ chol+slope0";46;14;28;14;0.588235294117647;0.333333333333333;0.766666666666667
"104";"target ~ chol+slope1";41;26;16;19;0.656862745098039;0.619047619047619;0.683333333333333
"105";"target ~ chol+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"106";"target ~ chol+ca0";44;30;12;16;0.725490196078431;0.714285714285714;0.733333333333333
"107";"target ~ chol+ca1";47;17;25;13;0.627450980392157;0.404761904761905;0.783333333333333
"108";"target ~ chol+ca2";54;12;30;6;0.647058823529412;0.285714285714286;0.9
"109";"target ~ chol+ca3";56;2;40;4;0.568627450980392;0.0476190476190476;0.933333333333333
"110";"target ~ chol+ca4";0;42;0;60;0.411764705882353;1;0
"111";"target ~ chol+thal0";50;9;33;10;0.57843137254902;0.214285714285714;0.833333333333333
"112";"target ~ chol+thal1";53;4;38;7;0.558823529411765;0.0952380952380952;0.883333333333333
"113";"target ~ chol+thal2";42;32;10;18;0.725490196078431;0.761904761904762;0.7
"114";"target ~ chol+thal3";45;29;13;15;0.725490196078431;0.69047619047619;0.75
"115";"target ~ thalach+oldpeak";48;26;16;12;0.725490196078431;0.619047619047619;0.8
"116";"target ~ thalach+sex0";41;26;16;19;0.656862745098039;0.619047619047619;0.683333333333333
"117";"target ~ thalach+sex1";41;26;16;19;0.656862745098039;0.619047619047619;0.683333333333333
"118";"target ~ thalach+cp0";44;36;6;16;0.784313725490196;0.857142857142857;0.733333333333333
"119";"target ~ thalach+cp1";36;30;12;24;0.647058823529412;0.714285714285714;0.6
"120";"target ~ thalach+cp2";43;28;14;17;0.696078431372549;0.666666666666667;0.716666666666667
"121";"target ~ thalach+cp3";47;26;16;13;0.715686274509804;0.619047619047619;0.783333333333333
"122";"target ~ thalach+fbs0";47;24;18;13;0.696078431372549;0.571428571428571;0.783333333333333
"123";"target ~ thalach+fbs1";47;24;18;13;0.696078431372549;0.571428571428571;0.783333333333333
"124";"target ~ thalach+restecg0";45;24;18;15;0.676470588235294;0.571428571428571;0.75
"125";"target ~ thalach+restecg1";45;23;19;15;0.666666666666667;0.547619047619048;0.75
"126";"target ~ thalach+restecg2";50;15;27;10;0.637254901960784;0.357142857142857;0.833333333333333
"127";"target ~ thalach+exang0";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"128";"target ~ thalach+exang1";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"129";"target ~ thalach+slope0";43;26;16;17;0.676470588235294;0.619047619047619;0.716666666666667
"130";"target ~ thalach+slope1";40;24;18;20;0.627450980392157;0.571428571428571;0.666666666666667
"131";"target ~ thalach+slope2";37;29;13;23;0.647058823529412;0.69047619047619;0.616666666666667
"132";"target ~ thalach+ca0";42;34;8;18;0.745098039215686;0.80952380952381;0.7
"133";"target ~ thalach+ca1";46;23;19;14;0.676470588235294;0.547619047619048;0.766666666666667
"134";"target ~ thalach+ca2";49;22;20;11;0.696078431372549;0.523809523809524;0.816666666666667
"135";"target ~ thalach+ca3";54;10;32;6;0.627450980392157;0.238095238095238;0.9
"136";"target ~ thalach+ca4";0;42;0;60;0.411764705882353;1;0
"137";"target ~ thalach+thal0";46;24;18;14;0.686274509803922;0.571428571428571;0.766666666666667
"138";"target ~ thalach+thal1";48;17;25;12;0.637254901960784;0.404761904761905;0.8
"139";"target ~ thalach+thal2";40;35;7;20;0.735294117647059;0.833333333333333;0.666666666666667
"140";"target ~ thalach+thal3";41;34;8;19;0.735294117647059;0.80952380952381;0.683333333333333
"141";"target ~ oldpeak+sex0";52;24;18;8;0.745098039215686;0.571428571428571;0.866666666666667
"142";"target ~ oldpeak+sex1";52;24;18;8;0.745098039215686;0.571428571428571;0.866666666666667
"143";"target ~ oldpeak+cp0";43;37;5;17;0.784313725490196;0.880952380952381;0.716666666666667
"144";"target ~ oldpeak+cp1";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"145";"target ~ oldpeak+cp2";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"146";"target ~ oldpeak+cp3";47;21;21;13;0.666666666666667;0.5;0.783333333333333
"147";"target ~ oldpeak+fbs0";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
"148";"target ~ oldpeak+fbs1";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
"149";"target ~ oldpeak+restecg0";47;20;22;13;0.656862745098039;0.476190476190476;0.783333333333333
"150";"target ~ oldpeak+restecg1";47;20;22;13;0.656862745098039;0.476190476190476;0.783333333333333
"151";"target ~ oldpeak+restecg2";54;18;24;6;0.705882352941177;0.428571428571429;0.9
"152";"target ~ oldpeak+exang0";47;27;15;13;0.725490196078431;0.642857142857143;0.783333333333333
"153";"target ~ oldpeak+exang1";47;27;15;13;0.725490196078431;0.642857142857143;0.783333333333333
"154";"target ~ oldpeak+slope0";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
"155";"target ~ oldpeak+slope1";46;27;15;14;0.715686274509804;0.642857142857143;0.766666666666667
"156";"target ~ oldpeak+slope2";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"157";"target ~ oldpeak+ca0";42;34;8;18;0.745098039215686;0.80952380952381;0.7
"158";"target ~ oldpeak+ca1";43;26;16;17;0.676470588235294;0.619047619047619;0.716666666666667
"159";"target ~ oldpeak+ca2";52;25;17;8;0.754901960784314;0.595238095238095;0.866666666666667
"160";"target ~ oldpeak+ca3";55;16;26;5;0.696078431372549;0.380952380952381;0.916666666666667
"161";"target ~ oldpeak+ca4";0;42;0;60;0.411764705882353;1;0
"162";"target ~ oldpeak+thal0";46;20;22;14;0.647058823529412;0.476190476190476;0.766666666666667
