"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"1";"target ~ age";17;23;19;43;0.392156862745098;0.547619047619048;0.283333333333333
"2";"target ~ trestbps";18;27;15;42;0.441176470588235;0.642857142857143;0.3
"3";"target ~ chol";12;30;12;48;0.411764705882353;0.714285714285714;0.2
"4";"target ~ thalach";30;32;10;30;0.607843137254902;0.761904761904762;0.5
"5";"target ~ oldpeak";10;24;18;50;0.333333333333333;0.571428571428571;0.166666666666667
"6";"target ~ sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"7";"target ~ sex1";37;7;35;23;0.431372549019608;0.166666666666667;0.616666666666667
"8";"target ~ cp0";15;7;35;45;0.215686274509804;0.166666666666667;0.25
"9";"target ~ cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"10";"target ~ cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"11";"target ~ cp3";9;39;3;51;0.470588235294118;0.928571428571429;0.15
"12";"target ~ fbs0";0;42;0;60;0.411764705882353;1;0
"13";"target ~ fbs1";7;37;5;53;0.431372549019608;0.880952380952381;0.116666666666667
"14";"target ~ restecg0";28;15;27;32;0.42156862745098;0.357142857142857;0.466666666666667
"15";"target ~ restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"16";"target ~ restecg2";0;42;0;60;0.411764705882353;1;0
"17";"target ~ exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"18";"target ~ exang1";8;23;19;52;0.303921568627451;0.547619047619048;0.133333333333333
"19";"target ~ slope0";4;35;7;56;0.382352941176471;0.833333333333333;0.0666666666666667
"20";"target ~ slope1";18;16;26;42;0.333333333333333;0.380952380952381;0.3
"21";"target ~ slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"22";"target ~ ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"23";"target ~ ca1";7;27;15;53;0.333333333333333;0.642857142857143;0.116666666666667
"24";"target ~ ca2";3;30;12;57;0.323529411764706;0.714285714285714;0.05
"25";"target ~ ca3";2;40;2;58;0.411764705882353;0.952380952380952;0.0333333333333333
"26";"target ~ ca4";2;41;1;58;0.42156862745098;0.976190476190476;0.0333333333333333
"27";"target ~ thal0";0;42;0;60;0.411764705882353;1;0
"28";"target ~ thal1";3;39;3;57;0.411764705882353;0.928571428571429;0.05
