"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"1";"target ~ age";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"2";"target ~ trestbps";60;0;42;0;0.588235294117647;0;1
"3";"target ~ chol";60;0;42;0;0.588235294117647;0;1
"4";"target ~ thalach";60;0;42;0;0.588235294117647;0;1
"5";"target ~ oldpeak";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"6";"target ~ sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"7";"target ~ sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"8";"target ~ cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"9";"target ~ cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"10";"target ~ cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"11";"target ~ cp3";60;0;42;0;0.588235294117647;0;1
"12";"target ~ fbs0";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"13";"target ~ fbs1";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"14";"target ~ restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"15";"target ~ restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"16";"target ~ restecg2";60;0;42;0;0.588235294117647;0;1
"17";"target ~ exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"18";"target ~ exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"19";"target ~ slope0";56;7;35;4;0.617647058823529;0.166666666666667;0.933333333333333
"20";"target ~ slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"21";"target ~ slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"22";"target ~ ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"23";"target ~ ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
"24";"target ~ ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"25";"target ~ ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"26";"target ~ ca4";60;0;42;0;0.588235294117647;0;1
"27";"target ~ thal0";60;0;42;0;0.588235294117647;0;1
"28";"target ~ thal1";57;3;39;3;0.588235294117647;0.0714285714285714;0.95
"29";"target ~ thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"30";"target ~ thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"31";"target ~ age+trestbps";60;0;42;0;0.588235294117647;0;1
"32";"target ~ age+chol";60;0;42;0;0.588235294117647;0;1
"33";"target ~ age+thalach";37;24;18;23;0.598039215686274;0.571428571428571;0.616666666666667
"34";"target ~ age+oldpeak";45;23;19;15;0.666666666666667;0.547619047619048;0.75
"35";"target ~ age+sex0";31;27;15;29;0.568627450980392;0.642857142857143;0.516666666666667
"36";"target ~ age+sex1";31;27;15;29;0.568627450980392;0.642857142857143;0.516666666666667
"37";"target ~ age+cp0";44;35;7;16;0.774509803921569;0.833333333333333;0.733333333333333
"38";"target ~ age+cp1";27;30;12;33;0.558823529411765;0.714285714285714;0.45
"39";"target ~ age+cp2";30;30;12;30;0.588235294117647;0.714285714285714;0.5
"40";"target ~ age+cp3";38;27;15;22;0.637254901960784;0.642857142857143;0.633333333333333
"41";"target ~ age+fbs0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"42";"target ~ age+fbs1";29;30;12;31;0.57843137254902;0.714285714285714;0.483333333333333
