"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";46;31;15;10;0.754901960784314;0.673913043478261;0.821428571428571
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;34;10;11;0.794117647058823;0.772727272727273;0.810344827586207
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";42;42;7;11;0.823529411764706;0.857142857142857;0.792452830188679
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";43;40;13;6;0.813725490196078;0.754716981132076;0.877551020408163
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";46;39;13;4;0.833333333333333;0.75;0.92
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";49;37;7;9;0.843137254901961;0.840909090909091;0.844827586206897
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";54;34;6;8;0.862745098039216;0.85;0.870967741935484
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";46;39;8;9;0.833333333333333;0.829787234042553;0.836363636363636
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";52;38;6;6;0.882352941176471;0.863636363636364;0.896551724137931
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";41;39;8;14;0.784313725490196;0.829787234042553;0.745454545454545
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";50;34;10;8;0.823529411764706;0.772727272727273;0.862068965517241
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";37;43;13;9;0.784313725490196;0.767857142857143;0.804347826086957
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;31;8;15;0.774509803921569;0.794871794871795;0.761904761904762
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";38;44;8;12;0.803921568627451;0.846153846153846;0.76
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";37;42;7;16;0.774509803921569;0.857142857142857;0.69811320754717
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";49;37;7;9;0.843137254901961;0.840909090909091;0.844827586206897
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";50;38;8;6;0.862745098039216;0.826086956521739;0.892857142857143
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";44;39;10;9;0.813725490196078;0.795918367346939;0.830188679245283
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";44;39;10;9;0.813725490196078;0.795918367346939;0.830188679245283
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";43;38;10;11;0.794117647058823;0.791666666666667;0.796296296296296
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";40;39;7;16;0.774509803921569;0.847826086956522;0.714285714285714
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;36;9;9;0.823529411764706;0.8;0.842105263157895
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";55;25;10;12;0.784313725490196;0.714285714285714;0.82089552238806
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;34;12;9;0.794117647058823;0.739130434782609;0.839285714285714
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;36;7;11;0.823529411764706;0.837209302325581;0.813559322033898
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";52;37;9;4;0.872549019607843;0.804347826086957;0.928571428571429
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";53;34;10;5;0.852941176470588;0.772727272727273;0.913793103448276
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";45;42;11;4;0.852941176470588;0.792452830188679;0.918367346938776
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";42;39;9;12;0.794117647058823;0.8125;0.777777777777778
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";51;36;9;6;0.852941176470588;0.8;0.894736842105263
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;41;8;6;0.862745098039216;0.836734693877551;0.886792452830189
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";57;33;10;2;0.882352941176471;0.767441860465116;0.966101694915254
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";45;40;12;5;0.833333333333333;0.769230769230769;0.9
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";39;38;8;17;0.754901960784314;0.826086956521739;0.696428571428571
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";52;32;6;12;0.823529411764706;0.842105263157895;0.8125
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";52;27;15;8;0.774509803921569;0.642857142857143;0.866666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;39;11;5;0.843137254901961;0.78;0.903846153846154
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";50;35;16;1;0.833333333333333;0.686274509803922;0.980392156862745
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;32;16;6;0.784313725490196;0.666666666666667;0.888888888888889
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";44;40;14;4;0.823529411764706;0.740740740740741;0.916666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";40;48;6;8;0.862745098039216;0.888888888888889;0.833333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";46;36;11;9;0.803921568627451;0.765957446808511;0.836363636363636
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;40;12;3;0.852941176470588;0.769230769230769;0.94
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;40;5;10;0.852941176470588;0.888888888888889;0.824561403508772
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";52;33;9;8;0.833333333333333;0.785714285714286;0.866666666666667
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;36;8;10;0.823529411764706;0.818181818181818;0.827586206896552
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";47;35;9;11;0.803921568627451;0.795454545454545;0.810344827586207
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";43;44;7;8;0.852941176470588;0.862745098039216;0.843137254901961
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";43;40;9;10;0.813725490196078;0.816326530612245;0.811320754716981
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";50;34;8;10;0.823529411764706;0.80952380952381;0.833333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";44;37;14;7;0.794117647058823;0.725490196078431;0.862745098039216
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";48;37;8;9;0.833333333333333;0.822222222222222;0.842105263157895
"naiveBayes: target ~ cp2+slope2+ca0+thal2+cp3";54;30;9;9;0.823529411764706;0.769230769230769;0.857142857142857
