"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;35;11;6;0.833333333333333;0.760869565217391;0.892857142857143
"naiveBayes: target ~ cp2+slope2+ca0+thal2";38;45;10;9;0.813725490196078;0.818181818181818;0.808510638297872
"naiveBayes: target ~ cp2+slope2+ca0+thal2";42;43;7;10;0.833333333333333;0.86;0.807692307692308
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;39;12;4;0.843137254901961;0.764705882352941;0.92156862745098
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;37;12;6;0.823529411764706;0.755102040816326;0.886792452830189
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;35;11;10;0.794117647058823;0.760869565217391;0.821428571428571
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;39;8;7;0.852941176470588;0.829787234042553;0.872727272727273
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;36;13;6;0.813725490196078;0.73469387755102;0.886792452830189
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;38;5;11;0.843137254901961;0.883720930232558;0.813559322033898
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;36;10;7;0.833333333333333;0.782608695652174;0.875
"naiveBayes: target ~ cp2+slope2+ca0+thal2";52;31;14;5;0.813725490196078;0.688888888888889;0.912280701754386
"naiveBayes: target ~ cp2+slope2+ca0+thal2";38;48;9;7;0.843137254901961;0.842105263157895;0.844444444444444
"naiveBayes: target ~ cp2+slope2+ca0+thal2";52;40;3;7;0.901960784313726;0.930232558139535;0.88135593220339
"naiveBayes: target ~ cp2+slope2+ca0+thal2";39;46;12;5;0.833333333333333;0.793103448275862;0.886363636363636
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;33;10;11;0.794117647058823;0.767441860465116;0.813559322033898
"naiveBayes: target ~ cp2+slope2+ca0+thal2";42;44;12;4;0.843137254901961;0.785714285714286;0.91304347826087
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;33;14;7;0.794117647058823;0.702127659574468;0.872727272727273
"naiveBayes: target ~ cp2+slope2+ca0+thal2";56;30;6;10;0.843137254901961;0.833333333333333;0.848484848484849
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;32;15;5;0.803921568627451;0.680851063829787;0.909090909090909
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;37;9;7;0.843137254901961;0.804347826086957;0.875
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;40;8;9;0.833333333333333;0.833333333333333;0.833333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;33;10;12;0.784313725490196;0.767441860465116;0.796610169491525
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;36;14;2;0.843137254901961;0.72;0.961538461538462
"naiveBayes: target ~ cp2+slope2+ca0+thal2";54;34;11;3;0.862745098039216;0.755555555555556;0.947368421052632
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;34;14;5;0.813725490196078;0.708333333333333;0.907407407407407
"naiveBayes: target ~ cp2+slope2+ca0+thal2";53;28;15;6;0.794117647058823;0.651162790697674;0.898305084745763
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;40;8;9;0.833333333333333;0.833333333333333;0.833333333333333
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;29;21;2;0.774509803921569;0.58;0.961538461538462
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;39;9;10;0.813725490196078;0.8125;0.814814814814815
"naiveBayes: target ~ cp2+slope2+ca0+thal2";47;41;9;5;0.862745098039216;0.82;0.903846153846154
"naiveBayes: target ~ cp2+slope2+ca0+thal2";49;35;5;13;0.823529411764706;0.875;0.790322580645161
"naiveBayes: target ~ cp2+slope2+ca0+thal2";48;36;8;10;0.823529411764706;0.818181818181818;0.827586206896552
"naiveBayes: target ~ cp2+slope2+ca0+thal2";46;35;11;10;0.794117647058823;0.760869565217391;0.821428571428571
"naiveBayes: target ~ cp2+slope2+ca0+thal2";44;41;10;7;0.833333333333333;0.803921568627451;0.862745098039216
"naiveBayes: target ~ cp2+slope2+ca0+thal2";50;35;11;6;0.833333333333333;0.760869565217391;0.892857142857143
"naiveBayes: target ~ cp2+slope2+ca0+thal2";45;36;9;12;0.794117647058823;0.8;0.789473684210526
