"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"1";"target ~ age";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"2";"target ~ trestbps";48;12;30;12;0.588235294117647;0.285714285714286;0.8
"3";"target ~ chol";47;12;30;13;0.57843137254902;0.285714285714286;0.783333333333333
"4";"target ~ thalach";44;27;15;16;0.696078431372549;0.642857142857143;0.733333333333333
"5";"target ~ oldpeak";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"6";"target ~ sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"7";"target ~ sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"8";"target ~ cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"9";"target ~ cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"10";"target ~ cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"11";"target ~ cp3";60;0;42;0;0.588235294117647;0;1
"12";"target ~ fbs0";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"13";"target ~ fbs1";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"14";"target ~ restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"15";"target ~ restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"16";"target ~ restecg2";60;0;42;0;0.588235294117647;0;1
"17";"target ~ exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"18";"target ~ exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"19";"target ~ slope0";60;0;42;0;0.588235294117647;0;1
"20";"target ~ slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"21";"target ~ slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"22";"target ~ ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"23";"target ~ ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
"24";"target ~ ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"25";"target ~ ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"26";"target ~ ca4";60;0;42;0;0.588235294117647;0;1
"27";"target ~ thal0";60;0;42;0;0.588235294117647;0;1
"28";"target ~ thal1";57;3;39;3;0.588235294117647;0.0714285714285714;0.95
"29";"target ~ thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"30";"target ~ thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"31";"target ~ age+trestbps";33;26;16;27;0.57843137254902;0.619047619047619;0.55
"32";"target ~ age+chol";29;28;14;31;0.558823529411765;0.666666666666667;0.483333333333333
"33";"target ~ age+thalach";37;29;13;23;0.647058823529412;0.69047619047619;0.616666666666667
"34";"target ~ age+oldpeak";46;23;19;14;0.676470588235294;0.547619047619048;0.766666666666667
"35";"target ~ age+sex0";34;24;18;26;0.568627450980392;0.571428571428571;0.566666666666667
"36";"target ~ age+sex1";34;24;18;26;0.568627450980392;0.571428571428571;0.566666666666667
"37";"target ~ age+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"38";"target ~ age+cp1";33;28;14;27;0.598039215686274;0.666666666666667;0.55
"39";"target ~ age+cp2";34;30;12;26;0.627450980392157;0.714285714285714;0.566666666666667
"40";"target ~ age+cp3";34;28;14;26;0.607843137254902;0.666666666666667;0.566666666666667
"41";"target ~ age+fbs0";29;30;12;31;0.57843137254902;0.714285714285714;0.483333333333333
"42";"target ~ age+fbs1";29;30;12;31;0.57843137254902;0.714285714285714;0.483333333333333
"43";"target ~ age+restecg0";30;30;12;30;0.588235294117647;0.714285714285714;0.5
"44";"target ~ age+restecg1";36;26;16;24;0.607843137254902;0.619047619047619;0.6
"45";"target ~ age+restecg2";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"46";"target ~ age+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"47";"target ~ age+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"48";"target ~ age+slope0";33;29;13;27;0.607843137254902;0.69047619047619;0.55
"49";"target ~ age+slope1";46;19;23;14;0.637254901960784;0.452380952380952;0.766666666666667
"50";"target ~ age+slope2";43;27;15;17;0.686274509803922;0.642857142857143;0.716666666666667
"51";"target ~ age+ca0";48;28;14;12;0.745098039215686;0.666666666666667;0.8
"52";"target ~ age+ca1";33;29;13;27;0.607843137254902;0.69047619047619;0.55
"53";"target ~ age+ca2";34;27;15;26;0.598039215686274;0.642857142857143;0.566666666666667
"54";"target ~ age+ca3";30;31;11;30;0.598039215686274;0.738095238095238;0.5
"55";"target ~ age+ca4";29;30;12;31;0.57843137254902;0.714285714285714;0.483333333333333
"56";"target ~ age+thal0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"57";"target ~ age+thal1";30;30;12;30;0.588235294117647;0.714285714285714;0.5
"58";"target ~ age+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"59";"target ~ age+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"60";"target ~ trestbps+chol";40;14;28;20;0.529411764705882;0.333333333333333;0.666666666666667
"61";"target ~ trestbps+thalach";40;28;14;20;0.666666666666667;0.666666666666667;0.666666666666667
"62";"target ~ trestbps+oldpeak";38;25;17;22;0.617647058823529;0.595238095238095;0.633333333333333
