"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"1";"target ~ age";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"2";"target ~ trestbps";52;7;35;8;0.57843137254902;0.166666666666667;0.866666666666667
"3";"target ~ chol";60;0;42;0;0.588235294117647;0;1
"4";"target ~ thalach";44;26;16;16;0.686274509803922;0.619047619047619;0.733333333333333
"5";"target ~ oldpeak";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"6";"target ~ sex0";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"7";"target ~ sex1";23;35;7;37;0.568627450980392;0.833333333333333;0.383333333333333
"8";"target ~ cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"9";"target ~ cp1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"10";"target ~ cp2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"11";"target ~ cp3";60;0;42;0;0.588235294117647;0;1
"12";"target ~ fbs0";60;0;42;0;0.588235294117647;0;1
"13";"target ~ fbs1";60;0;42;0;0.588235294117647;0;1
"14";"target ~ restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"15";"target ~ restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"16";"target ~ restecg2";60;0;42;0;0.588235294117647;0;1
"17";"target ~ exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"18";"target ~ exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"19";"target ~ slope0";60;0;42;0;0.588235294117647;0;1
"20";"target ~ slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"21";"target ~ slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"22";"target ~ ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"23";"target ~ ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
"24";"target ~ ca2";57;12;30;3;0.676470588235294;0.285714285714286;0.95
"25";"target ~ ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"26";"target ~ ca4";60;0;42;0;0.588235294117647;0;1
"27";"target ~ thal0";60;0;42;0;0.588235294117647;0;1
"28";"target ~ thal1";60;0;42;0;0.588235294117647;0;1
"29";"target ~ thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"30";"target ~ thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"31";"target ~ age+trestbps";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"32";"target ~ age+chol";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"33";"target ~ age+thalach";34;36;6;26;0.686274509803922;0.857142857142857;0.566666666666667
"34";"target ~ age+oldpeak";43;25;17;17;0.666666666666667;0.595238095238095;0.716666666666667
"35";"target ~ age+sex0";41;23;19;19;0.627450980392157;0.547619047619048;0.683333333333333
"36";"target ~ age+sex1";41;23;19;19;0.627450980392157;0.547619047619048;0.683333333333333
"37";"target ~ age+cp0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"38";"target ~ age+cp1";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"39";"target ~ age+cp2";33;30;12;27;0.617647058823529;0.714285714285714;0.55
"40";"target ~ age+cp3";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"41";"target ~ age+fbs0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"42";"target ~ age+fbs1";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"43";"target ~ age+restecg0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"44";"target ~ age+restecg1";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"45";"target ~ age+restecg2";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"46";"target ~ age+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"47";"target ~ age+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"48";"target ~ age+slope0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"49";"target ~ age+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"50";"target ~ age+slope2";44;25;17;16;0.676470588235294;0.595238095238095;0.733333333333333
"51";"target ~ age+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"52";"target ~ age+ca1";27;31;11;33;0.568627450980392;0.738095238095238;0.45
"53";"target ~ age+ca2";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"54";"target ~ age+ca3";27;31;11;33;0.568627450980392;0.738095238095238;0.45
"55";"target ~ age+ca4";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"56";"target ~ age+thal0";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"57";"target ~ age+thal1";32;29;13;28;0.598039215686274;0.69047619047619;0.533333333333333
"58";"target ~ age+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"59";"target ~ age+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
